categoria,cat_url,app_name,card_url,before_open_url,new_tab_open_url,final_url
Trending This Week,https://tapps.center/trending,"Punk City
$PUNK GameFi ecosystem. Runs on The Open Network.
OPEN",,https://tapps.center/application/punkcity,https://t.me/PunkCity2094bot,https://tapps.center/trending
Trending This Week,https://tapps.center/trending,"IQcoin
Earn Rewards for Intelligence
OPEN",,https://tapps.center/application/i-qcoin,https://t.me/IQcoinApp_Bot,https://tapps.center/trending
Trending This Week,https://tapps.center/trending,"The Team Test
Team Test is a cooperative game for four players.
OPEN",,https://tapps.center/application/teamtest,https://t.me/theteamtestbot,https://tapps.center/trending
Trending This Week,https://tapps.center/trending,"Whale Syndicate
Mine crypto. Make bad decisions.
OPEN",,https://tapps.center/application/whalesyndicate,https://t.me/WhaleSyndicate_Bot,https://tapps.center/trending
Trending This Week,https://tapps.center/trending,"GiftScout
Telegram Gift Analytics
OPEN",,https://tapps.center/application/giftscout,https://t.me/GiftScout_Bot,https://tapps.center/trending
Trending This Week,https://tapps.center/trending,"The Clean Network
Mine build and fight rivals
OPEN",,https://tapps.center/application/thecleannetwork,https://t.me/TheCleanNetworkAppBot,https://tapps.center/trending
Trending This Week,https://tapps.center/trending,"Dig It Game
Play For Gold earn Tokens for Real Asset Backed Gold
OPEN",,https://tapps.center/application/digitgame,https://t.me/dig_it_game_bot,https://tapps.center/trending
Trending This Week,https://tapps.center/trending,"Earnigram
Earn in 10+ ways on Telegram with Earnigram
OPEN",,https://tapps.center/application/earnigram,https://t.me/Earnigram_Bot,https://tapps.center/trending
Trending This Week,https://tapps.center/trending,"StarDrop
CS2 cases
OPEN",,https://tapps.center/application/stardrop,https://t.me/StarDropCs2Bot,https://tapps.center/trending
Trending This Week,https://tapps.center/trending,"CapsGame
100% Authentic Caps Game
OPEN",,https://tapps.center/application/capsgame,https://t.me/CapsGameBot,https://tapps.center/trending
Games,https://tapps.center/games,"Notcoin
Editors' Choice
Probably nothing.
OPEN",,https://tapps.center/application/notcoin,https://t.me/notcoin_bot,https://tapps.center/games
Games,https://tapps.center/games,"Gatto
Editors' Choice
Grow Gattomons, compete with other players and earn TON!
O",,https://tapps.center/application/gatto,https://t.me/gatto_gamebot,https://tapps.center/games
Games,https://tapps.center/games,"Catizen
Where Every Game Leads to an Airdrop
OPEN",,https://tapps.center/application/catizen,https://t.me/catizenbot,https://tapps.center/games
Games,https://tapps.center/games,"Fanton Fantasy Football
First P2E game in the Fantasy Football integrated in Tel",,https://tapps.center/application/fantonfantasyfootball,https://t.me/fantongamebot,https://tapps.center/games
Games,https://tapps.center/games,"Duckygram
Editors' Choice
Breed unique collectible ducks and earn $EGG
OPEN",,https://tapps.center/application/duckygram,https://t.me/duckygram_bot,https://tapps.center/games
Games,https://tapps.center/games,"Major
Editors' Choice
First rating game in Telegram.
OPEN",,https://tapps.center/application/major,https://t.me/major,https://tapps.center/games
Games,https://tapps.center/games,"Dogs
It is not just another meme coin. It’s the most Telegram-native meme coin, ",,https://tapps.center/application/dogs,https://t.me/dogshouse_bot,https://tapps.center/games
Games,https://tapps.center/games,"The Pixels
Amazing social multiplayer game. Draw, Win, Earn!
OPEN",,https://tapps.center/application/thepixels,https://t.me/the_pixels_bot,https://tapps.center/games
Games,https://tapps.center/games,"PlayDeck
Your ultimate game catalog on Telegram
OPEN",,https://tapps.center/application/playdeck,https://t.me/playdeckbot,https://tapps.center/games
Games,https://tapps.center/games,"Hackney Games
Play multiplayer games, challenge friends, and compete for high sc",,https://tapps.center/application/gamesplatform,https://t.me/InstantGames_bot,https://tapps.center/games
Games,https://tapps.center/games,"Punk City
$PUNK GameFi ecosystem. Runs on The Open Network.
OPEN",,https://tapps.center/application/punkcity,https://t.me/PunkCity2094bot,https://tapps.center/games
Games,https://tapps.center/games,"Hokm Online
NEW
Most famous persian card game!
OPEN",,https://tapps.center/application/hokmonline,https://t.me/HokmOnlineGameBot,https://tapps.center/games
Games,https://tapps.center/games,"Level Legends
NEW
Rogue-lite game. Kill bosses, earn Tokens, become a legend!
OP",,https://tapps.center/application/levellegends,https://t.me/level_legends_bot,https://tapps.center/games
Games,https://tapps.center/games,"PixelDuelGallery
NEW
Create world masterpieces of art in TON
OPEN",,https://tapps.center/application/pixelduelgallery,https://t.me/PixelDuelGallery_bot,https://tapps.center/games
Games,https://tapps.center/games,"FantasyNBA
NEW
Fantasy NBA on TON
OPEN",,https://tapps.center/application/fantasynba,https://t.me/FantasyNBALeaguesbot,https://tapps.center/games
Games,https://tapps.center/games,"Card Royal: Poker & Slots
Premium Texas Hold'em and SNG Poker
OPEN",,https://tapps.center/application/cardroyalpokerandslots,https://t.me/TMS_Card_Royal_bot,https://tapps.center/games
Games,https://tapps.center/games,"IQcoin
Earn Rewards for Intelligence
OPEN",,https://tapps.center/application/i-qcoin,https://t.me/IQcoinApp_Bot,https://tapps.center/games
Games,https://tapps.center/games,"DetectivePuzzles
Detective Puzzles - Daily Logic Games
OPEN",,https://tapps.center/application/detectivepuzzles,https://t.me/DetectivePuzzlesBot,https://tapps.center/games
Games,https://tapps.center/games,"Crybble Wars
Absorb crypto bubbles, claim rewards
OPEN",,https://tapps.center/application/crybblewars,https://t.me/crybblegame_bot,https://tapps.center/games
Games,https://tapps.center/games,"Arena: RPS Clash
RPS duels & TON rewards
OPEN",,https://tapps.center/application/arenarpsclash,https://t.me/ArenaMatchBot,https://tapps.center/games
Games,https://tapps.center/games,"The Team Test
Team Test is a cooperative game for four players.
OPEN",,https://tapps.center/application/teamtest,https://t.me/theteamtestbot,https://tapps.center/games
Games,https://tapps.center/games,"TON Raids
Real-time TON raid battles
OPEN",,https://tapps.center/application/tonraids,https://t.me/tonraidsbot,https://tapps.center/games
Games,https://tapps.center/games,"8Bit
Your Portal to the Next-Level Arcade Universe
OPEN",,https://tapps.center/application/8bit,https://t.me/arcadelabs_bot,https://tapps.center/games
Games,https://tapps.center/games,"ChatGalaTON
A universe inside Telegram
OPEN",,https://tapps.center/application/chatgalaton,https://t.me/chatgalatone_bot,https://tapps.center/games
Games,https://tapps.center/games,"MERGEON
Merge items, level up, earn rewards
OPEN",,https://tapps.center/application/mergeon,https://t.me/mergeonbot,https://tapps.center/games
Games,https://tapps.center/games,"Monogram
Play Monopoly online with friends
OPEN",,https://tapps.center/application/monogram,https://t.me/mono_gram_bot,https://tapps.center/games
Games,https://tapps.center/games,"Escape Coin
Exciting endless runner game with upgrades
OPEN",,https://tapps.center/application/escapecoin,https://t.me/escapecoinbot,https://tapps.center/games
Games,https://tapps.center/games,"Rocket Case
Telegram NFT Gifts Game
OPEN",,https://tapps.center/application/rocketcase,https://t.me/RocketCaseBot,https://tapps.center/games
Games,https://tapps.center/games,"Crypto Fisher
Catch fish and earn USDT
OPEN",,https://tapps.center/application/cryptofisher,https://t.me/CryptoFisher2026Bot,https://tapps.center/games
Games,https://tapps.center/games,"Fishing
Catch the fish, Win real cash.
OPEN",,https://tapps.center/application/fishing,https://t.me/FishingInBot,https://tapps.center/games
Games,https://tapps.center/games,"Anime arena
Anime-style RPG game
OPEN",,https://tapps.center/application/animearena,https://t.me/aa_dark_bot,https://tapps.center/games
Games,https://tapps.center/games,"FlyingFox
Competitive Skill-to-Earn Game
OPEN",,https://tapps.center/application/flyingfox,https://t.me/flyingfoxappbot,https://tapps.center/games
Games,https://tapps.center/games,"web3islands
HOUSES and other DIGITAL assets in the cozy web3islands metaverse. Q",,https://tapps.center/application/web3islands,https://t.me/web3islands_bot,https://tapps.center/games
Games,https://tapps.center/games,"Block Canvas
Classic addictive block puzzle game
OPEN",,https://tapps.center/application/blockcanvas,https://t.me/blockcanvasbot,https://tapps.center/games
Games,https://tapps.center/games,"MAFIA ONLINE
Multiplayer Social Mafia Game
OPEN",,https://tapps.center/application/mafiaonline,https://t.me/GeimingChats_bot,https://tapps.center/games
Games,https://tapps.center/games,"Orbit Wars
Dominate the cosmic void
OPEN",,https://tapps.center/application/orbitwars,https://t.me/OrbitWarsBot,https://tapps.center/games
Games,https://tapps.center/games,"QuadRoyal
Match patterns & win real TON prizes
OPEN",,https://tapps.center/application/quadroyal,https://t.me/QuadRoyalBot,https://tapps.center/games
Games,https://tapps.center/games,"SURGE
Crypto Prediction Game - Swipe for Big Rewards!
OPEN",,https://tapps.center/application/surge,https://t.me/wesurgenowbot,https://tapps.center/games
Games,https://tapps.center/games,"Crypto Millionaire Quiz
Learn finance through play
OPEN",,https://tapps.center/application/cryptomillionairequiz,https://t.me/crypto_millionaire_quiz_bot,https://tapps.center/games
Games,https://tapps.center/games,"DeckForge
Free-to-play MMO roguelike card battler
OPEN",,https://tapps.center/application/deckforge,https://t.me/DeckForgeGame_bot,https://tapps.center/games
Games,https://tapps.center/games,"Block Puzzles
Logic puzzle game
OPEN",,https://tapps.center/application/blockpuzzles,https://t.me/tg_games_nik_bot,https://tapps.center/games
Games,https://tapps.center/games,"Call of Odin's Chosen
VWA game
OPEN",,https://tapps.center/application/callofodinschosen,https://t.me/COC_Web3_bot,https://tapps.center/games
Games,https://tapps.center/games,"CATBOMB
Idle Cat Army Battles Collect & Earn
OPEN",,https://tapps.center/application/catbomb,https://t.me/catbomb_bot,https://tapps.center/games
Games,https://tapps.center/games,"Gift Phase
Play solo or PVP and win gifts faster than ever!
OPEN",,https://tapps.center/application/giftphase,https://t.me/giftphasebot,https://tapps.center/games
Games,https://tapps.center/games,"Boxium
Play to win NFT gifts
OPEN",,https://tapps.center/application/boxium,https://t.me/boxiumbot,https://tapps.center/games
Games,https://tapps.center/games,"Idle Legion
Join the Mushroom Troop, defeat foes and conquer the world!
OPEN",,https://tapps.center/application/idlelegion,https://t.me/idlelegion_bot,https://tapps.center/games
Games,https://tapps.center/games,"TowerGame
PlayTowerGame wisely, earn ton
OPEN",,https://tapps.center/application/towergame,https://t.me/TGCoinTower_bot,https://tapps.center/games
Games,https://tapps.center/games,"Ezzz Skin
Win top CS2 skins
OPEN",,https://tapps.center/application/ezzzskin,https://t.me/ezzzskinbot,https://tapps.center/games
Games,https://tapps.center/games,"Kokoronoki
Merge to reveal collectible art on TON
OPEN",,https://tapps.center/application/kokoronoki,https://t.me/KokoronoKi_bot,https://tapps.center/games
Games,https://tapps.center/games,"TON For Speed
Racing game in Telegram
OPEN",,https://tapps.center/application/tonforspeed,https://t.me/tonforspeed_bot,https://tapps.center/games
Games,https://tapps.center/games,"Holos | Pokémon Mystery Packs
Pokémon Real Card Trading
OPEN",,https://tapps.center/application/holos,https://t.me/HolosTon_bot,https://tapps.center/games
Games,https://tapps.center/games,"TonLounge
Dota2 & CS pools on TON. Play with TON & TG Gifts & Stars
OPEN",,https://tapps.center/application/tonlounge,https://t.me/tonloungebot,https://tapps.center/games
