categoria,cat_url,app_name,url_store,url_mini_app
Trending This Week,https://tapps.center/trending,"Punk City
$PUNK GameFi ecosystem. Runs on The Open Network.
OPEN",https://tapps.center/application/punkcity,https://t.me/PunkCity2094bot
Trending This Week,https://tapps.center/trending,"IQcoin
Earn Rewards for Intelligence
OPEN",https://tapps.center/application/i-qcoin,https://t.me/IQcoinApp_Bot
Trending This Week,https://tapps.center/trending,"The Team Test
Team Test is a cooperative game for four players.
OPEN",https://tapps.center/application/teamtest,https://t.me/theteamtestbot
Trending This Week,https://tapps.center/trending,"Whale Syndicate
Mine crypto. Make bad decisions.
OPEN",https://tapps.center/application/whalesyndicate,https://t.me/WhaleSyndicate_Bot
Trending This Week,https://tapps.center/trending,"GiftScout
Telegram Gift Analytics
OPEN",https://tapps.center/application/giftscout,https://t.me/GiftScout_Bot
Trending This Week,https://tapps.center/trending,"The Clean Network
Mine build and fight rivals
OPEN",https://tapps.center/application/thecleannetwork,https://t.me/TheCleanNetworkAppBot
Trending This Week,https://tapps.center/trending,"Dig It Game
Play For Gold earn Tokens for Real Asset Backed Gold
OPEN",https://tapps.center/application/digitgame,https://t.me/dig_it_game_bot
Trending This Week,https://tapps.center/trending,"Earnigram
Earn in 10+ ways on Telegram with Earnigram
OPEN",https://tapps.center/application/earnigram,https://t.me/Earnigram_Bot
Trending This Week,https://tapps.center/trending,"StarDrop
CS2 cases
OPEN",https://tapps.center/application/stardrop,https://t.me/StarDropCs2Bot
Trending This Week,https://tapps.center/trending,"CapsGame
100% Authentic Caps Game
OPEN",https://tapps.center/application/capsgame,https://t.me/CapsGameBot
Games,https://tapps.center/games,"Notcoin
Editors' Choice
Probably nothing.
OPEN",https://tapps.center/application/notcoin,https://t.me/notcoin_bot
Games,https://tapps.center/games,"Gatto
Editors' Choice
Grow Gattomons, compete with other players and earn TON!
O",https://tapps.center/application/gatto,https://t.me/gatto_gamebot
Games,https://tapps.center/games,"Catizen
Where Every Game Leads to an Airdrop
OPEN",https://tapps.center/application/catizen,https://t.me/catizenbot
Games,https://tapps.center/games,"Fanton Fantasy Football
First P2E game in the Fantasy Football integrated in Tel",https://tapps.center/application/fantonfantasyfootball,https://t.me/fantongamebot
Games,https://tapps.center/games,"Duckygram
Editors' Choice
Breed unique collectible ducks and earn $EGG
OPEN",https://tapps.center/application/duckygram,https://t.me/duckygram_bot
Games,https://tapps.center/games,"Major
Editors' Choice
First rating game in Telegram.
OPEN",https://tapps.center/application/major,https://t.me/major
Games,https://tapps.center/games,"Dogs
It is not just another meme coin. It’s the most Telegram-native meme coin, ",https://tapps.center/application/dogs,https://t.me/dogshouse_bot
Games,https://tapps.center/games,"The Pixels
Amazing social multiplayer game. Draw, Win, Earn!
OPEN",https://tapps.center/application/thepixels,https://t.me/the_pixels_bot
Games,https://tapps.center/games,"PlayDeck
Your ultimate game catalog on Telegram
OPEN",https://tapps.center/application/playdeck,https://t.me/playdeckbot
Games,https://tapps.center/games,"Hackney Games
Play multiplayer games, challenge friends, and compete for high sc",https://tapps.center/application/gamesplatform,https://t.me/InstantGames_bot
Games,https://tapps.center/games,"Punk City
$PUNK GameFi ecosystem. Runs on The Open Network.
OPEN",https://tapps.center/application/punkcity,https://t.me/PunkCity2094bot
Games,https://tapps.center/games,"Hokm Online
NEW
Most famous persian card game!
OPEN",https://tapps.center/application/hokmonline,https://t.me/HokmOnlineGameBot
Games,https://tapps.center/games,"Level Legends
NEW
Rogue-lite game. Kill bosses, earn Tokens, become a legend!
OP",https://tapps.center/application/levellegends,https://t.me/level_legends_bot
Games,https://tapps.center/games,"PixelDuelGallery
NEW
Create world masterpieces of art in TON
OPEN",https://tapps.center/application/pixelduelgallery,https://t.me/PixelDuelGallery_bot
Games,https://tapps.center/games,"FantasyNBA
NEW
Fantasy NBA on TON
OPEN",https://tapps.center/application/fantasynba,https://t.me/FantasyNBALeaguesbot
